BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by City Advance Realty Inc;Condo for sale;568000;2;2.0;1253.0;164 Beach 101st St Unit 15A;Rockaway Park, NY 11694;164 Beach 101st St Unit 15ARockaway Park, NY 11694;New York;Queens County;Queens;Rockaway Park;164;164 Beach 101st St #15a, Rockaway Park, NY 11694, USA;40.5828044;-73.8210807
Brokered by Salmon Realty Group;Multi-family home for sale;1153000;4;;3980.0;7739 Amboy Rd;Staten Island, NY 10307;7739 Amboy RdStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Amboy Road;7739 Amboy Rd, Staten Island, NY 10307, USA;40.5078915;-74.2530332
Brokered by Realty Connect USA LLC;Multi-family home for sale;2399000;10;5.0;2184.207862;3505 214th Pl;Bayside, NY 11361;3505 214th PlBayside, NY 11361;United States;New York;Queens County;Queens;214th Place;35-05 214th Pl, Flushing, NY 11361, USA;40.7693956;-73.7708144
Brokered by Keller Williams Realty Greater Nassau;Co-op for sale;349000;1;1.0;800.0;510 Ocean Pkwy Apt 4D;Kensington, NY 11218;510 Ocean Pkwy Apt 4DKensington, NY 11218;United States;New York;Kings County;Brooklyn;Ocean Parkway;510 Ocean Pkwy, Brooklyn, NY 11218, USA;40.6358249;-73.973308
Brokered by Realty Trends Corp;Multi-family home for sale;2999990;5;6.0;3600.0;226 12th St;Brooklyn, NY 11215;226 12th StBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;12th Street;226 12th St, Brooklyn, NY 11215, USA;40.6681258;-73.9897865
Brokered by Mont Sky Real Estate Hudson;Townhouse for sale;899000;3;2.0;1400.0;50-07 63rd St;Woodside, NY 11377;50-07 63rd StWoodside, NY 11377;United States;New York;Queens County;Queens;63rd Street;50-07 63rd St, Flushing, NY 11377, USA;40.7368055;-73.9026152
Brokered by Amorelli Realty LLC;Co-op for sale;169000;1;1.0;2184.207862;21-57 33rd St Unit 5D;Astoria, NY 11105;21-57 33rd St Unit 5DAstoria, NY 11105;New York;Queens County;Queens;Astoria;21-57;21-57 33rd St #5d, Astoria, NY 11105, USA;40.7759232;-73.9087334
Brokered by JM Properties;House for sale;449999;4;3.0;1217.0;46 Elizabeth St;Staten Island, NY 10310;46 Elizabeth StStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;Elizabeth Street;46 Elizabeth St, Staten Island, NY 10310, USA;40.6329023;-74.120945
Brokered by River Realty Services, Inc.;Foreclosure;886545;6;4.0;2116.0;133-29 Amber St;Howard Beach, NY 11208;133-29 Amber StHoward Beach, NY 11208;United States;New York;Queens County;Queens;Amber Street;133- 38 Amber St, Howard Beach, NY 11414, USA;40.6719007;-73.8590006
Brokered by Keller Williams Realty Staten Island;Townhouse for sale;495000;3;2.0;1280.0;75 N Burgher Ave;Staten Island, NY 10310;75 N Burgher AveStaten Island, NY 10310;United States;New York;Richmond County;Staten Island;North Burgher Avenue;75 N Burgher Ave, Staten Island, NY 10310, USA;40.6396483;-74.1151985
Brokered by Ed Bruno Realty, LLC;House for sale;749000;4;3.0;2150.0;142 Dixon Ave;Staten Island, NY 10303;142 Dixon AveStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Dixon Avenue;142 Dixon Ave, Staten Island, NY 10303, USA;40.6278109;-74.146957
Brokered by EXIT REALTY PRIME;House for sale;875000;4;3.0;2129.0;79-26 268th St;Glen Oaks, NY 11004;79-26 268th StGlen Oaks, NY 11004;United States;New York;Queens County;Queens;268th Street;79-26 268th St, Queens, NY 11004, USA;40.7474641;-73.704456
Brokered by RE MAX 1st Choice;Multi-family home for sale;1630000;11;6.0;2184.207862;42-32 81st St;Elmhurst, NY 11373;42-32 81st StElmhurst, NY 11373;;New York;Queens County;Queens;81st Street;42-32 81st St, Elmhurst, NY 11373, USA;40.7424172;-73.8842849
Brokered by COMPASS;Condo for sale;849000;2;1.0;720.0;150 W 51st St Apt 808;Manhattan, NY 10019;150 W 51st St Apt 808Manhattan, NY 10019;New York;New York County;New York;Manhattan;150;150 W 51st St #808, New York, NY 10019, USA;40.761427;-73.982584
Brokered by Douglas Elliman - 2112 Frederick Douglass Blvd;Pending;110000;1;1.0;650.0;6535 Broadway Apt 3G;Bronx, NY 10471;6535 Broadway Apt 3GBronx, NY 10471;New York;Bronx County;The Bronx;North Riverdale;6535;6535 Broadway #3g, Bronx, NY 10471, USA;40.906568;-73.8968047
Brokered by KELLER WILLIAMS REALTY LANDMARK II;Pending;299999;2;1.0;650.0;124-21 Flatlands Ave Unit 8B;Brooklyn, NY 11208;124-21 Flatlands Ave Unit 8BBrooklyn, NY 11208;New York;Kings County;Brooklyn;East New York;12421;12421 Flatlands Ave #8b, Brooklyn, NY 11208, USA;40.657696;-73.8764091
Brokered by Weichert Realtors TMT Group;Co-op for sale;335000;3;2.0;2184.207862;18-50 211 St Unit 3D;Bayside, NY 11360;18-50 211 St Unit 3DBayside, NY 11360;New York;Queens County;Queens;Bayside;18-50;18-50 211th St #3d, Bayside, NY 11360, USA;;
Brokered by Compass Greater Ny, Llc;Co-op for sale;549000;3;1.0;1200.0;7002 Ridge Blvd Apt D11;Brooklyn, NY 11209;7002 Ridge Blvd Apt D11Brooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;7002;7002 Ridge Blvd Apt D11, Brooklyn, NY 11209, USA;40.6358323;-74.0291372
Brokered by eXp Realty BKNY;Co-op for sale;445000;3;2.0;1250.0;2483 W 16th St Apt 3C;Brooklyn, NY 11214;2483 W 16th St Apt 3CBrooklyn, NY 11214;United States;New York;Kings County;Brooklyn;2483;2483 W 16th St #3c, Brooklyn, NY 11214, USA;40.5871907;-73.9840965
Brokered by Keller Williams Realty Staten Island;Contingent;459000;2;1.0;1188.0;382 Sprague Ave;Staten Island, NY 10307;382 Sprague AveStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Sprague Avenue;382 Sprague Ave, Staten Island, NY 10307, USA;40.5019991;-74.2372284
Brokered by Homes R Us Realty of NY, Inc.;House for sale;399998;4;2.0;1252.0;73 Irving Pl;Staten Island, NY 10304;73 Irving PlStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Irving Place;73 Irving Pl, Staten Island, NY 10304, USA;40.6171678;-74.0837135
Brokered by Sotheby's International Realty - Downtown Manhattan;Condo for sale;9500000;4;4.0;3655.0;1 John St # E;Brooklyn, NY 11201;1 John St # EBrooklyn, NY 11201;New York;Kings County;Brooklyn;Dumbo;1;John Street Park, 1 John St, Brooklyn, NY 11201, USA;40.7046228;-73.9878238
Brokered by RE MAX Elite;Pending;999000;4;2.0;1957.0;121 86th St;Brooklyn, NY 11209;121 86th StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;86th Street;121 86th St, Brooklyn, NY 11209, USA;40.6248041;-74.0355778
Brokered by IHome Realty Group LLC;House for sale;650000;4;2.0;1482.0;954 Brooklyn Ave;Brooklyn, NY 11203;954 Brooklyn AveBrooklyn, NY 11203;United States;New York;Kings County;Brooklyn;Brooklyn Avenue;954 Brooklyn Ave, Brooklyn, NY 11203, USA;40.6503361;-73.9440072
Brokered by Century 21 Papp Realty;House for sale;880000;3;4.0;2100.0;20 Gabriele Ct;Staten Island, NY 10312;20 Gabriele CtStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Gabrielle Court;20 Gabrielle Ct, Staten Island, NY 10312, USA;40.551314;-74.1670026
Brokered by Winzone Realty Inc;House for sale;1350000;5;3.0;2082.0;80-31 188th St;Hollis, NY 11432;80-31 188th StHollis, NY 11432;United States;New York;Queens County;Queens;188th Street;80-31 188th St, Hollis, NY 11423, USA;40.7284032;-73.7803984
Brokered by Tru International Realty Corp;Condo for sale;599000;2;2.0;2184.207862;131-19 Fowler Ave Unit 2C;Flushing, NY 11355;131-19 Fowler Ave Unit 2CFlushing, NY 11355;New York;Queens County;Queens;Flushing;131-19;131-19 Fowler Ave #2c, Flushing, NY 11355, USA;40.7517561;-73.8344347
Brokered by Keller Williams Rlty Landmark;Co-op for sale;225000;1;1.0;2184.207862;35-45 204 St Unit 399;Bayside, NY 11361;35-45 204 St Unit 399Bayside, NY 11361;;Queens County;Queens;Auburndale;3545;3545 204th St # 399, Auburndale, NY 11361, USA;40.7664499;-73.78359
Brokered by Level;Co-op for sale;220000;3;1.0;2184.207862;273 Bennett Ave Apt 6E;New York, NY 10040;273 Bennett Ave Apt 6ENew York, NY 10040;New York;New York County;New York;Manhattan;273;273 Bennett Ave #6e, New York, NY 10040, USA;40.8590729;-73.9322176
Brokered by RE/MAX Team;Co-op for sale;289000;3;1.0;2184.207862;2199 Holland Ave Apt 5N;Bronx, NY 10462;2199 Holland Ave Apt 5NBronx, NY 10462;New York;Bronx County;The Bronx;East Bronx;2199;2199 Holland Ave #5n, Bronx, NY 10462, USA;40.8563536;-73.865974
Brokered by Corcoran SoHo;Pending;350000;1;1.0;2184.207862;2088 Madison Ave Apt 1A;New York, NY 10037;2088 Madison Ave Apt 1ANew York, NY 10037;New York;New York County;New York;Manhattan;2088;2088 Madison Ave #1a, New York, NY 10037, USA;40.8099146;-73.9379084
Brokered by Winzone Realty Inc;House for sale;1350000;5;3.0;2082.0;80-31 188th St;Hollis, NY 11432;80-31 188th StHollis, NY 11432;United States;New York;Queens County;Queens;188th Street;80-31 188th St, Hollis, NY 11423, USA;40.7284032;-73.7803984
Brokered by Century 21 Papp Realty;House for sale;880000;3;4.0;2100.0;20 Gabriele Ct;Staten Island, NY 10312;20 Gabriele CtStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Gabrielle Court;20 Gabrielle Ct, Staten Island, NY 10312, USA;;
Brokered by Realty Connect USA LLC;House for sale;719999;3;2.0;2184.207862;108-16 36 Ave;Corona, NY 11368;108-16 36 AveCorona, NY 11368;United States;New York;Queens County;Queens;36th Avenue;108-16 36th Ave, Queens, NY 11368, USA;40.754545;-73.859675
Brokered by COMPASS;Condo for sale;1100000;2;1.0;807.0;170 Broadway Apt 6A;Brooklyn, NY 11211;170 Broadway Apt 6ABrooklyn, NY 11211;New York;Kings County;Brooklyn;Southside;170;170 Broadway #6a, Brooklyn, NY 11211, USA;40.709905;-73.962869
Brokered by Pantiga Group Inc.;Co-op for sale;259000;2;1.0;950.0;800 Grand Concourse Ave Unit Gjn;Bronx, NY 10451;800 Grand Concourse Ave Unit GjnBronx, NY 10451;United States;New York;Bronx County;The Bronx;Grand Concourse;800 Grand Concourse, Bronx, NY 10451, USA;40.8248699;-73.9229829
Brokered by S Sharf Realty Inc;Multi-family home for sale;1699999;6;3.0;2754.0;370 Marion St;Brooklyn, NY 11233;370 Marion StBrooklyn, NY 11233;;New York;Kings County;Brooklyn;Marion Street;370 Marion St, Brooklyn, NY 11233, USA;40.681189;-73.9146606
Brokered by CENTURY 21 Professional Realty;House for sale;669000;4;2.0;2184.207862;134-25 241st St;Rosedale, NY 11422;134-25 241st StRosedale, NY 11422;United States;New York;Queens County;Queens;241st Street;134-25 241st St, Jamaica, NY 11422, USA;40.6729779;-73.7330064
Brokered by TREBACH REALTY INC;House for sale;3400000;6;6.0;6290.0;5000 Goodridge Ave;Bronx, NY 10471;5000 Goodridge AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Goodridge Avenue;5000 Goodridge Ave, Bronx, NY 10471, USA;40.8969575;-73.9032123
Brokered by Keystone Realty USA Corp;Condo for sale;549000;3;2.0;2184.207862;86-02 Dumont Ave Unit 1B;Ozone Park, NY 11417;86-02 Dumont Ave Unit 1BOzone Park, NY 11417;New York;Queens County;Queens;Ozone Park;86-2;86-2 Dumont Ave #1b, Ozone Park, NY 11417, USA;40.6726474;-73.8499883
Brokered by YourHomeSold Guarantee Realty;Land for sale;250000;3;;2184.207862;1818 Unionport Rd;Bronx, NY 10462;1818 Unionport RdBronx, NY 10462;United States;New York;Bronx County;The Bronx;Unionport Road;1818 Unionport Rd, Bronx, NY 10462, USA;40.8453241;-73.8684042
Brokered by Sotheby's International Realty - Downtown Manhattan;Co-op for sale;299000;3;1.0;2184.207862;579 W 215th St Apt 9D;New York, NY 10034;579 W 215th St Apt 9DNew York, NY 10034;New York;New York County;New York;Manhattan;579;579 W 215th St #9d, New York, NY 10034, USA;40.8718895;-73.9188667
Brokered by AAA Young Shuen Realty Inc;House for sale;1288000;5;;2184.207862;146-06 13th Ave;Whitestone, NY 11357;146-06 13th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;13th Avenue;146-06 13th Ave, Flushing, NY 11357, USA;40.7886657;-73.8207928
Brokered by Serhant;Condo for sale;3345000;2;2.0;1875.0;158 Franklin St Fl 3;New York, NY 10013;158 Franklin St Fl 3New York, NY 10013;New York;New York County;New York;Manhattan;158;158 Franklin St FL 3, New York, NY 10013, USA;40.7194435;-74.0081022
Brokered by Voro Llc;Multi-family home for sale;1198000;6;5.0;2184.207862;132-31 219th St;Springfield Gardens, NY 11413;132-31 219th StSpringfield Gardens, NY 11413;United States;New York;Queens County;Queens;219th Street;132-31 219th St, Jamaica, NY 11413, USA;40.6811645;-73.7493264
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;897888;3;2.0;1260.0;69-29 54th Ave;Maspeth, NY 11378;69-29 54th AveMaspeth, NY 11378;United States;New York;Queens County;Queens;54th Avenue;69-29 54th Ave, Flushing, NY 11378, USA;40.7292895;-73.8945367
Brokered by Anthony T Crews Real Estate LLC;House for sale;575000;4;2.0;1604.0;190 Crystal St;Brooklyn, NY 11208;190 Crystal StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Crystal Street;190 Crystal St, Brooklyn, NY 11208, USA;40.6740009;-73.8743074
Brokered by Coldwell Banker American Homes;Co-op for sale;230000;1;1.0;2184.207862;43-25 Douglaston Pkwy Unit 6D;Douglaston, NY 11363;43-25 Douglaston Pkwy Unit 6DDouglaston, NY 11363;New York;Queens County;Queens;Douglaston;4325;4325 Douglaston Pkwy Apt 6d, Douglaston, NY 11363, USA;40.7670699;-73.74642
Brokered by Brown Harris Stevens - 445 Park Avenue;Co-op for sale;775000;1;1.0;2184.207862;401 W End Ave Unit 3E;Manhattan, NY 10024;401 W End Ave Unit 3EManhattan, NY 10024;New York;New York County;New York;Manhattan;401;401 West End Ave # 3d, New York, NY 10024, USA;;
Brokered by YourHomeSold Guarantee Realty;Land for sale;250000;3;;2184.207862;1818 Unionport Rd;Bronx, NY 10462;1818 Unionport RdBronx, NY 10462;United States;New York;Bronx County;The Bronx;Unionport Road;1818 Unionport Rd, Bronx, NY 10462, USA;40.8453241;-73.8684042
Brokered by Serhant;Condo for sale;3345000;2;2.0;1875.0;158 Franklin St Fl 3;New York, NY 10013;158 Franklin St Fl 3New York, NY 10013;New York;New York County;New York;Manhattan;158;158 Franklin St FL 3, New York, NY 10013, USA;40.7194435;-74.0081022
Brokered by TREBACH REALTY INC;House for sale;3400000;6;6.0;6290.0;5000 Goodridge Ave;Bronx, NY 10471;5000 Goodridge AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Goodridge Avenue;5000 Goodridge Ave, Bronx, NY 10471, USA;40.8969575;-73.9032123
Brokered by Anthony T Crews Real Estate LLC;House for sale;575000;4;2.0;1604.0;190 Crystal St;Brooklyn, NY 11208;190 Crystal StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Crystal Street;190 Crystal St, Brooklyn, NY 11208, USA;40.6740009;-73.8743074
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;897888;3;2.0;1260.0;69-29 54th Ave;Maspeth, NY 11378;69-29 54th AveMaspeth, NY 11378;United States;New York;Queens County;Queens;54th Avenue;69-29 54th Ave, Flushing, NY 11378, USA;40.7292895;-73.8945367
Brokered by Voro Llc;Multi-family home for sale;1198000;6;5.0;2184.207862;132-31 219th St;Springfield Gardens, NY 11413;132-31 219th StSpringfield Gardens, NY 11413;;New York;Queens County;Queens;219th Street;132-31 219th St, Jamaica, NY 11413, USA;40.6811645;-73.7493264
Brokered by AAA Young Shuen Realty Inc;House for sale;1288000;5;;2184.207862;146-06 13th Ave;Whitestone, NY 11357;146-06 13th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;13th Avenue;146-06 13th Ave, Flushing, NY 11357, USA;40.7886657;-73.8207928
Brokered by Keller Williams Rty Gold Coast;House for sale;2100000;4;3.0;3512.0;150-123 Powells Cove Blvd;Whitestone, NY 11357;150-123 Powells Cove BlvdWhitestone, NY 11357;United States;New York;Queens County;Queens;Powells Cove Boulevard;150-123 Powells Cove Blvd, Whitestone, NY 11357, USA;40.7974719;-73.8143638
Brokered by Coldwell Banker American Homes;Co-op for sale;230000;1;1.0;2184.207862;43-25 Douglaston Pkwy Unit 6D;Douglaston, NY 11363;43-25 Douglaston Pkwy Unit 6DDouglaston, NY 11363;New York;Queens County;Queens;Douglaston;4325;4325 Douglaston Pkwy Apt 6d, Douglaston, NY 11363, USA;40.7670699;-73.74642
Brokered by RE MAX Edge;House for sale;1080000;6;3.0;3600.0;47 Wheeler Ave;Staten Island, NY 10314;47 Wheeler AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Wheeler Avenue;47 Wheeler Ave, Staten Island, NY 10314, USA;40.6110496;-74.1309465
Brokered by Mark Murphy Properties;Condo for sale;378888;1;1.0;718.0;966 Clove Rd Unit H1;Staten Island, NY 10301;966 Clove Rd Unit H1Staten Island, NY 10301;New York;Richmond County;Staten Island;Castleton Corners;966;966 Clove Rd H1, Staten Island, NY 10301, USA;40.6204781;-74.1109257
Brokered by Nest Seekers International, Midtown;Condo for sale;750000;3;2.0;1027.0;2132 2nd Ave Unit 7B;New York, NY 10029;2132 2nd Ave Unit 7BNew York, NY 10029;New York;New York County;New York;Manhattan;2132;2132 2nd Ave #7b, New York, NY 10029, USA;40.7929253;-73.9404138
Brokered by Brown Harris Stevens - 445 Park Avenue;Co-op for sale;775000;1;1.0;2184.207862;401 W End Ave Unit 3E;Manhattan, NY 10024;401 W End Ave Unit 3EManhattan, NY 10024;New York;New York County;New York;Manhattan;401;401 West End Ave # 3d, New York, NY 10024, USA;40.7845412;-73.981249
Brokered by COMPASS;Co-op for sale;7495000;6;4.0;2184.207862;151 E 79th St Fl 11;Manhattan, NY 10075;151 E 79th St Fl 11Manhattan, NY 10075;New York;New York County;New York;Manhattan;151;151 E 79th St Fl 11, New York, NY 10075, USA;40.775111;-73.958515
Brokered by Ozana Realty Group;House for sale;698888;3;2.0;1440.0;160 New Dorp Plz;Staten Island, NY 10306;160 New Dorp PlzStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;New Dorp Plaza;160 New Dorp Plaza, Staten Island, NY 10306, USA;40.571472;-74.1193966
Brokered by Corcoran Chelsea/Flatiron;Condo for sale;850000;1;1.0;626.0;158 India St Apt 3;Brooklyn, NY 11222;158 India St Apt 3Brooklyn, NY 11222;New York;Kings County;Brooklyn;Greenpoint;158;158 India St APT 3, Brooklyn, NY 11222, USA;40.7322099;-73.9535842
Brokered by Serhant;Townhouse for sale;2999999;4;3.0;2800.0;465 Saint Johns Pl;Brooklyn, NY 11238;465 Saint Johns PlBrooklyn, NY 11238;United States;New York;Kings County;Brooklyn;Saint Johns Place;465 St Johns Pl, Brooklyn, NY 11238, USA;40.6736636;-73.9623858
Brokered by Property Professional Realty;Multi-family home for sale;1149999;6;3.0;2184.207862;86-58 261st St;Floral Park, NY 11001;86-58 261st StFloral Park, NY 11001;United States;New York;Queens County;Queens;261st Street;86-58 261st St, Queens, NY 11001, USA;40.7320002;-73.7055812
Brokered by Daniel Gale of Brooklyn LLC;Townhouse for sale;2025000;2;2.0;1500.0;204 Richards Street Richards St Unit 204;Brooklyn, NY 11231;204 Richards Street Richards St Unit 204Brooklyn, NY 11231;United States;New York;Kings County;Brooklyn;Richards Street;204 Richards St, Brooklyn, NY 11231, USA;40.6756128;-74.0124872
Brokered by COMPASS;Townhouse for sale;2695000;3;2.0;1950.0;338 Humboldt St;Brooklyn, NY 11211;338 Humboldt StBrooklyn, NY 11211;United States;New York;Kings County;Brooklyn;Humboldt Street;338 Humboldt St, Brooklyn, NY 11211, USA;40.7135237;-73.942354
Brokered by Brown Harris Stevens;Co-op for sale;192500;1;1.0;2184.207862;555 Kappock St Apt 12F;Bronx, NY 10463;555 Kappock St Apt 12FBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;555;555 Kappock St #12f, Bronx, NY 10463, USA;40.878087;-73.9170513
Brokered by Gerard R Desgranges;Co-op for sale;395000;1;1.0;550.0;170 W 85th St Apt 4NW;New York, NY 10024;170 W 85th St Apt 4NWNew York, NY 10024;New York;New York County;New York;Manhattan;170;170 W 85th St #4n, New York, NY 10024, USA;40.7867652;-73.9753353
Brokered by 1 Oak Real Estate Hub Inc;Multi-family home for sale;1200000;7;;2184.207862;1278 E 70th St;Brooklyn, NY 11234;1278 E 70th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 70th Street;1278 E 70th St, Brooklyn, NY 11234, USA;40.6243164;-73.9136042
Brokered by Bond New York- Columbus Circle;Co-op for sale;699000;2;1.0;800.0;7 W 92nd St Apt 5G;New York, NY 10025;7 W 92nd St Apt 5GNew York, NY 10025;;New York County;New York;Manhattan;7;7 W 92nd St #5g, New York, NY 10025, USA;40.7896573;-73.9673229
Brokered by L I Homes Of Distinction;Multi-family home for sale;649000;4;2.0;2184.207862;616 Beach 69th St;Arverne, NY 11692;616 Beach 69th StArverne, NY 11692;United States;New York;Queens County;Queens;Beach 69th Street;616 Beach 69th St, Arverne, NY 11692, USA;40.5974508;-73.7983993
Brokered by Coldwell Banker Reliable Real Estate;House for sale;689000;3;2.0;1484.0;414 Herberton Ave;Staten Island, NY 10302;414 Herberton AveStaten Island, NY 10302;United States;New York;Richmond County;Staten Island;Heberton Avenue;414 Heberton Ave, Staten Island, NY 10302, USA;;
Brokered by COMPASS;Co-op for sale;1895000;3;2.0;2184.207862;378 4th St Apt 4;Brooklyn, NY 11215;378 4th St Apt 4Brooklyn, NY 11215;New York;Kings County;Brooklyn;Park Slope;378;378 4th St #4, Brooklyn, NY 11215, USA;40.6708384;-73.9812037
Brokered by Realty By The Park Inc / Santana Real Estate;Condo for sale;668000;2;2.0;2184.207862;83-75 117th St Unit 7A;Kew Gardens, NY 11418;83-75 117th St Unit 7AKew Gardens, NY 11418;New York;Queens County;Queens;Richmond Hill;83-75;83-75 117th St #7a, Richmond Hill, NY 11418, USA;40.7046248;-73.8349003
Brokered by Nest Seekers International, Tribeca;Condo for sale;2550000;3;2.0;1525.0;422 W 49th St Apt 4A;New York, NY 10019;422 W 49th St Apt 4ANew York, NY 10019;New York;New York County;New York;Manhattan;422;422 W 49th St #4a, New York, NY 10019, USA;40.7631417;-73.9906014
Brokered by COMPASS;Townhouse for sale;5500000;8;6.0;5925.0;34 MT Morris Park W;Manhattan, NY 10027;34 MT Morris Park WManhattan, NY 10027;United States;New York;New York County;New York;Mount Morris Park West;34 Mt Morris Park W, New York, NY 10027, USA;40.806166;-73.9448308
Brokered by Grandeur Realty, Inc.;House for sale;1680000;1;1.0;3536.0;314 W 138th St;New York, NY 10030;314 W 138th StNew York, NY 10030;United States;New York;New York County;New York;West 138th Street;314 W 138th St, New York, NY 10030, USA;40.8186279;-73.9460737
Brokered by Elegran Real Estate And Development;Condo for sale;799000;1;1.0;684.0;155 E 34th St Apt 20A;New York, NY 10016;155 E 34th St Apt 20ANew York, NY 10016;New York;New York County;New York;Manhattan;155;155 E 34th St #20a, New York, NY 10016, USA;40.746232;-73.978689
Brokered by Jason Mitchell Real Estate New York;House for sale;680000;3;2.0;2200.0;54 E Augusta Ave;Staten Island, NY 10308;54 E Augusta AveStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;East Augusta Avenue;54 E Augusta Ave, Staten Island, NY 10308, USA;40.5529274;-74.159159
Brokered by COMPASS;Co-op for sale;1650000;1;2.0;1000.0;92 Horatio St Apt 1L;Manhattan, NY 10014;92 Horatio St Apt 1LManhattan, NY 10014;New York;New York County;New York;Manhattan;92;92 Horatio St #1b, New York, NY 10014, USA;40.7385868;-74.0078404
Brokered by Douglas Elliman - 575 Madison Ave;Condo for sale;6750000;3;3.0;3000.0;525 W 22nd St Apt 2F;New York, NY 10011;525 W 22nd St Apt 2FNew York, NY 10011;New York;New York County;New York;Manhattan;525;525 W 22nd St #2f, New York, NY 10011, USA;40.7476234;-74.0057263
Brokered by Sowae Corp;House for sale;580000;6;3.0;2940.0;801 Thomas S Boyland St;Brooklyn, NY 11212;801 Thomas S Boyland StBrooklyn, NY 11212;United States;New York;Kings County;Brooklyn;Thomas S Boyland Street;801 Thomas S Boyland St, Brooklyn, NY 11212, USA;40.6609696;-73.9111929
Brokered by Daniel Gale of Brooklyn LLC;Townhouse for sale;700000;4;2.0;2266.0;5473 Kings Hwy;Brooklyn, NY 11203;5473 Kings HwyBrooklyn, NY 11203;United States;New York;Kings County;Brooklyn;Kings Highway;5473 Kings Hwy, Brooklyn, NY 11203, USA;40.6430292;-73.9248566
Brokered by Eva Real Estate LLC;House for sale;550000;3;2.0;1410.0;690 N Railroad Ave;Staten Island, NY 10304;690 N Railroad AveStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;North Railroad Avenue;690 N Railroad Ave, Staten Island, NY 10304, USA;40.5882303;-74.0975793
Brokered by Robert Defalco Realty, Inc.;Townhouse for sale;315000;3;2.0;1344.0;2806 Richmond Ter;Staten Island, NY 10303;2806 Richmond TerStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Richmond Terrace;2806 Richmond Terrace, Staten Island, NY 10303, USA;40.6364;-74.154146
Brokered by COMPASS;Condo for sale;1695000;2;2.0;1117.0;175 Jackson St Apt 4D;Brooklyn, NY 11211;175 Jackson St Apt 4DBrooklyn, NY 11211;New York;Kings County;Brooklyn;Williamsburg;175;175 Jackson St #4d, Brooklyn, NY 11211, USA;40.7169665;-73.94377
Brokered by Jonarbri Realty;Co-op for sale;385000;2;1.0;2184.207862;420 44th St Apt 3;Brooklyn, NY 11220;420 44th St Apt 3Brooklyn, NY 11220;New York;Kings County;Brooklyn;Sunset Park;420;420 44th St #3, Brooklyn, NY 11220, USA;40.649346;-74.0086998
Brokered by Brown Harris Stevens;Townhouse for sale;2000000;5;3.0;3024.0;246 W 123rd St Unit Townhouse;Manhattan, NY 10027;246 W 123rd St Unit TownhouseManhattan, NY 10027;United States;New York;New York County;New York;West 123rd Street;246 W 123rd St, New York, NY 10027, USA;40.808174;-73.951091
Brokered by Exp Realty;Co-op for sale;249999;2;1.0;750.0;2018 E 59th St Unit 159D;Old Mill Basin, NY 11234;2018 E 59th St Unit 159DOld Mill Basin, NY 11234;New York;Kings County;Brooklyn;Mill Basin;2018;2018 E 59th St # 159f, Brooklyn, NY 11234, USA;40.6152328;-73.9176941
Brokered by Cruz Network The Bronx Realty;House for sale;749000;3;2.0;2184.207862;2225 Seward Ave;Bronx, NY 10473;2225 Seward AveBronx, NY 10473;;New York;Bronx County;The Bronx;Seward Avenue;2225 Seward Ave, Bronx, NY 10473, USA;40.821432;-73.8474428
Brokered by Sowae Corp;House for sale;220000;3;;1396.0;1800 Troy Ave;Brooklyn, NY 11234;1800 Troy AveBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Troy Avenue;1800 Troy Ave, Brooklyn, NY 11234, USA;40.628358;-73.9339729
